neuron,dead,ks_gauss,ks_laplace,kurtosis
0,False,0.08542953122803265,0.041342586984299726,4.018253326416016
1,False,0.01312285125489121,0.04892348747668207,0.006545066833496094
2,False,0.013499406475978776,0.04682027687577894,0.18949294090270996
3,False,0.009139552333847112,0.04292498743630191,0.18187999725341797
4,False,0.009467355390350318,0.045152511250441174,-0.04289746284484863
5,False,0.016370015357221157,0.04870798434321788,0.07793498039245605
6,False,0.02072320557457219,0.03940933069044916,1.404932975769043
7,False,0.013654610607375162,0.043496797281367794,0.15033912658691406
8,False,0.015941738986083753,0.04611125981284758,0.4123969078063965
9,False,0.02049047972301149,0.052968025867487945,-0.15565037727355957
10,False,0.01184138613874619,0.04407173518706342,0.5032305717468262
11,False,0.016814445567671976,0.045672653774821825,0.7068216800689697
12,False,0.008225943212746889,0.047589000710757945,2.0320801734924316
13,False,0.01982980078748564,0.040531440662134766,0.4525332450866699
14,False,0.020249711990784958,0.0539374452692718,0.14178943634033203
15,False,0.021321080956434924,0.04244642191525483,3.859170436859131
16,False,0.012337133164078362,0.043960421675739825,0.23000359535217285
17,False,0.017063823869994943,0.04861365632962,0.7591135501861572
18,False,0.014299337709687499,0.04115002285617042,2.006892204284668
19,False,0.01669438582965599,0.0516377774626996,-0.0832827091217041
20,False,0.010355757512512942,0.04411350148713655,0.26334357261657715
21,False,0.036055584324048096,0.034431126352417074,1.3707327842712402
22,False,0.03995006421749947,0.046760230305740946,0.2525019645690918
23,False,0.018729991239394894,0.05239472998255418,0.9162228107452393
24,False,0.008979734312817733,0.04572575691745007,0.05658078193664551
25,False,0.017054216046174075,0.05094844915720709,1.6336679458618164
26,False,0.016760742376294435,0.04582831963011502,0.1165471076965332
27,False,0.011891268633959506,0.04260210906888451,0.193328857421875
28,False,0.0229707891863542,0.04039498933735697,1.0148992538452148
29,False,0.0241158425220816,0.04874031843746232,-0.00790858268737793
30,False,0.01379064934555918,0.050420457993915035,-0.11045455932617188
31,False,0.010826259399602134,0.04505429729060462,3.1185641288757324
32,False,0.033646305753382566,0.034938084747948406,3.208279609680176
33,False,0.013484807519141606,0.046969886538061,-0.0665583610534668
34,False,0.02475983160826123,0.038767966349817606,0.9043138027191162
35,False,0.01821240985038286,0.04351596034547067,0.8713889122009277
36,False,0.009002404032880995,0.045439959819928544,0.36638712882995605
37,False,0.06303966256402693,0.029972664318775155,11.991716384887695
38,False,0.019574351271802848,0.04441380694004282,0.5868325233459473
39,False,0.0174357663224205,0.04281884654720708,2.63723087310791
40,False,0.009694789506157764,0.048310574881868906,0.2548258304595947
41,False,0.017860590197356307,0.0496702220301124,0.9615707397460938
42,False,0.03048382955465312,0.04004195270771982,0.3333709239959717
43,False,0.030778278513550417,0.05747838930538707,0.06638717651367188
44,False,0.021170767224965803,0.04142759131246676,0.3946959972381592
45,False,0.0568944633016103,0.05612437109813018,0.12020230293273926
46,False,0.014165232258834815,0.0469972299021732,0.12357878684997559
47,False,0.08219260571234333,0.02916347455176782,8.312790870666504
48,False,0.029616348394767344,0.04153610377576622,5.008025169372559
49,False,0.014783994007492085,0.04584543540564817,1.2623982429504395
50,False,0.027631258525349645,0.03832683686417282,7.515069007873535
51,False,0.015685709059570063,0.04822064142061788,-0.11054539680480957
52,False,0.015469609628770087,0.043734252564531895,0.3808145523071289
53,False,0.019450767683623638,0.0423492759312295,20.535980224609375
54,False,0.03886211197078204,0.03932611468862446,7.189919471740723
55,False,0.12383388698254108,0.05508531475625361,4.221172332763672
56,False,0.02933775569948882,0.041696926148122204,4.344557762145996
57,False,0.012283193278882665,0.04474371721944037,0.03974652290344238
58,False,0.009329453666460319,0.05324692850826973,-0.010383129119873047
59,False,0.014715832813322394,0.042058470427073724,0.33804845809936523
60,False,0.006191714662938552,0.04465953225717845,0.18695878982543945
61,False,0.012253107487496473,0.05226831222391737,0.2041301727294922
62,False,0.02029621322384717,0.04728735287459951,0.24200034141540527
63,False,0.014604699527552722,0.048658845499958914,-0.059121131896972656
64,False,0.04565088248442295,0.050093540376287105,0.4120810031890869
65,False,0.06552086620032138,0.032860322244339324,19.91835594177246
66,False,0.019145492515217577,0.049326284158187794,-0.22307491302490234
67,False,0.039101991729671104,0.04199299667207246,7.3641204833984375
68,False,0.015442838903597378,0.05212183658969549,-0.03522014617919922
69,False,0.014066802521247479,0.04063594587771974,0.17725157737731934
70,False,0.017345840658004597,0.04018184912478767,2.3417558670043945
71,False,0.04065828790441928,0.03869806861802849,20.658201217651367
72,False,0.0092230970623427,0.04824179085307434,0.08141851425170898
73,False,0.01785222318166879,0.05160592860723395,-0.2146759033203125
74,False,0.011965504456071474,0.045092689129266894,0.3079352378845215
75,False,0.006158765848504388,0.04677884671455773,0.0023648738861083984
76,False,0.011825366291568828,0.042619422238383886,0.14844799041748047
77,False,0.024028794236381268,0.04253106614544777,4.531789779663086
78,False,0.025511578723565576,0.036750706163028946,2.801455020904541
79,False,0.010321041257001395,0.04705091310721843,-0.0006201267242431641
80,False,0.007709563524058716,0.043121804192706725,0.12567758560180664
81,False,0.019607486744389835,0.04873257565677552,0.3302643299102783
82,False,0.025274796412511957,0.04528514768648406,0.46972012519836426
83,False,0.03048610867275836,0.03541358101993114,1.3846302032470703
84,False,0.010115394911312914,0.04422349840377132,0.15119099617004395
85,False,0.016804999400952425,0.05577143506156357,-0.13869976997375488
86,False,0.01842344879411184,0.043972150117985054,1.8057031631469727
87,False,0.031190399922604528,0.038931225139148706,6.920745849609375
88,False,0.011515201125010255,0.044395376756229066,0.8911819458007812
89,False,0.04193536382184193,0.03541758741635859,4.546360015869141
90,False,0.044843777540079066,0.041952700594639736,1.382814884185791
91,False,0.023986076032686654,0.05181993279331493,-0.05460762977600098
92,False,0.017759727609458098,0.04398913997094045,0.5094168186187744
93,False,0.02019814187125135,0.05586633009662012,-0.08341813087463379
94,False,0.024358007865611597,0.040920303023268545,0.7208471298217773
95,False,0.005871854731413079,0.04331570475993829,-0.05954408645629883
96,False,0.01557247208828516,0.045913219554821305,-0.024245738983154297
97,False,0.026452770921012836,0.05051291807269964,0.7574100494384766
98,False,0.009593600622155807,0.04560724604570554,-0.03150057792663574
99,False,0.01770834074249228,0.04187524522299335,1.4683146476745605
100,False,0.015295453246045698,0.04325849830468492,1.6590838432312012
101,False,0.02654733834263262,0.05301565645017159,-0.19341468811035156
102,False,0.04792300517195325,0.03549316989870055,11.90782642364502
103,False,0.03197029483351832,0.04570210847704101,5.262857437133789
104,False,0.03081287013358447,0.041336969026468495,5.103672981262207
105,False,0.013293160769237367,0.04416460367659303,0.3801138401031494
106,False,0.018169214727223826,0.051401314627802064,0.09853076934814453
107,False,0.010135156017508251,0.04594789993782,-0.05302143096923828
108,False,0.02333390528403545,0.04185946373217314,2.0550427436828613
109,False,0.02846847307194994,0.04257540425230849,0.33336639404296875
110,False,0.025788043900726643,0.05001911542243653,0.13999557495117188
111,False,0.011387642634317352,0.04367957633755004,0.1544508934020996
112,False,0.0118668712320108,0.044637573411794806,0.07989048957824707
113,False,0.013491913328229854,0.045093394178408575,0.3880891799926758
114,False,0.01928595432922453,0.049468316068915996,1.0765886306762695
115,False,0.015135298310885559,0.043465066607120795,1.468869686126709
116,False,0.01743777335459673,0.0418117204898259,0.15477418899536133
117,False,0.025642415456549217,0.04124924114835299,1.230607032775879
118,False,0.01763971109855944,0.04472544931375355,3.3430871963500977
119,False,0.006521626453934171,0.04514315583667394,2.368947982788086
120,False,0.00806854628336695,0.048840669274303194,-0.017183303833007812
121,False,0.07065725285070612,0.03193980446128797,28.268125534057617
122,False,0.006090070670678516,0.045288428265657155,-0.0670924186706543
123,False,0.016427073510455137,0.046750440584857555,-0.18953967094421387
124,False,0.017731740003711582,0.04563265844464437,0.0003848075866699219
125,False,0.018683184203754366,0.04174995154477379,0.19024324417114258
126,False,0.007303689003879843,0.0511232945091058,0.1342334747314453
127,False,0.013900567079811577,0.05403131382235482,-0.008213281631469727
128,False,0.017884499921100416,0.04941695474447949,0.13140010833740234
129,False,0.017980366887163757,0.04711131834204585,0.3495512008666992
130,False,0.009987735412979482,0.04944206369270643,-0.1462557315826416
131,False,0.011799209714086045,0.04487050214670252,0.08898401260375977
132,False,0.014658850164422754,0.04450602795331604,0.028521299362182617
133,False,0.009405689555297192,0.04776723314292691,0.6229479312896729
134,False,0.012402861730470116,0.04441597563979405,0.15211892127990723
135,False,0.010059471770768769,0.044041259497580254,0.021726131439208984
136,False,0.0268333734857944,0.03817350002237985,1.836700439453125
137,False,0.010855270530295613,0.04428218775848025,0.24381780624389648
138,False,0.007142030308346481,0.04475601342218816,3.9678211212158203
139,False,0.01438202367451491,0.05289848487296256,-0.043009281158447266
140,False,0.015233861449913955,0.04591182593177201,0.09453415870666504
141,False,0.017681504150616367,0.05493452085815609,0.08770918846130371
142,False,0.020599002139950306,0.04428626152343662,0.11404776573181152
143,False,0.016183978197672144,0.042140031995930693,0.4459571838378906
144,False,0.0177822521226641,0.05429190382940169,0.05594801902770996
145,False,0.01703432048914022,0.041510804284791536,-0.0005812644958496094
146,False,0.02201371597807089,0.043781166447709796,2.4161376953125
147,False,0.009350496699993383,0.04501343255744317,-0.016433238983154297
148,False,0.00844854639635556,0.04445379016290063,0.0329742431640625
149,False,0.022887943672385225,0.048979751305017194,0.6183428764343262
150,False,0.04749362179857164,0.04012992718634201,5.54093074798584
151,False,0.012535840004414434,0.05018449464565278,-0.030911684036254883
152,False,0.006917855944411078,0.04546589378382937,0.057393789291381836
153,False,0.016511117667539987,0.04475428338140386,0.2482161521911621
154,False,0.00875897434173628,0.04685016846129231,-0.15558934211730957
155,False,0.04278150981880646,0.050273819503149575,1.2561464309692383
156,False,0.014453825331619763,0.0411887605518515,0.26256656646728516
157,False,0.010888601608861959,0.04267975302588667,0.26154160499572754
158,False,0.01815834900766633,0.04625954474228444,0.4251391887664795
159,False,0.011689247796049962,0.043916231662976646,3.3684964179992676
160,False,0.013717497989033767,0.05152173714747693,0.20437240600585938
161,False,0.020720587614479424,0.04853448737523591,0.3483755588531494
162,False,0.009010732244591257,0.05063229570028671,-0.07501077651977539
163,False,0.08888432614382868,0.024237691805469308,18.17859649658203
164,False,0.03573650232642056,0.047090737664336024,0.24593186378479004
165,False,0.028351912533713053,0.04302322699557659,0.4270610809326172
166,False,0.009428434760539117,0.05221428917136517,-0.08102059364318848
167,False,0.01253224152292809,0.04441093036147192,0.5313856601715088
168,False,0.03535854117901055,0.05032566524408871,5.086352348327637
169,False,0.011375969845907608,0.04323459404870911,0.12030315399169922
170,False,0.016654299847744247,0.03655714911472241,0.41078662872314453
