neuron,dead,ks_gauss,ks_laplace,kurtosis
0,True,,,
1,True,,,
2,False,0.11925672624391603,0.06556800716708233,3.5016403198242188
3,False,0.11695342926035429,0.12462753408332014,-0.5746040344238281
4,False,0.1699486058423093,0.16962435449856172,0.7018499374389648
5,False,0.10857897117848458,0.09388955743274052,5.418679237365723
6,True,,,
7,True,,,
8,False,0.13008246764803016,0.08954597119497709,0.2719295024871826
9,False,0.1867392902438647,0.1786028899783945,2.869152069091797
10,True,,,
11,False,0.10639656797076313,0.10660707187706592,1.0185484886169434
12,False,0.1733770146825493,0.15632253311397046,2.5244646072387695
13,True,,,
14,True,,,
15,False,0.09601009028527618,0.0637944316830654,2.0356693267822266
16,False,0.11796416555339567,0.1134184285588789,-0.23067450523376465
17,False,0.14211758633012506,0.15684307485739798,-0.8176300525665283
18,True,,,
19,False,0.14552809092541807,0.1328219731275909,2.5037283897399902
20,False,0.24689717456493632,0.2148496746020812,6.259967803955078
21,True,,,
22,False,0.11684906534041933,0.08700794181469873,0.329179048538208
23,False,0.21502281242463117,0.26074907438955053,4.891555309295654
24,True,,,
25,False,0.07147703767863112,0.06990989818697985,0.11786556243896484
26,False,0.19229903121543457,0.24904477425977722,-0.951038122177124
27,False,0.28143160290095537,0.1926078464855715,0.3737168312072754
28,True,,,
29,False,0.19772607233864042,0.22073357016367795,3.5333099365234375
30,True,,,
31,False,0.16717907431595191,0.17102168511693605,4.919483661651611
32,False,0.15997336845366417,0.13439014317977596,1.2965426445007324
33,True,,,
34,False,0.21569730249589092,0.2405913051288214,2.2585973739624023
35,False,0.17502152752371125,0.13722600186573722,5.903980255126953
36,False,0.18368485000474188,0.13651503649089874,29.007946014404297
37,False,0.11668294540184487,0.11409336155709315,3.760972023010254
38,False,0.1213842152551663,0.1087643644155711,12.013224601745605
39,True,,,
40,True,,,
41,False,0.14732357288114473,0.1854975293493406,-1.3006923198699951
42,False,0.37652758712635037,0.35335255557910505,17.702146530151367
43,True,,,
44,True,,,
45,False,0.16515377798904107,0.1572517997090379,0.8874549865722656
46,False,0.2571061289721325,0.2555268074151318,-1.5939521789550781
47,False,0.11812585724733782,0.10295951425528138,0.02465081214904785
48,False,0.17352731068618987,0.19936618523925564,2.1865487098693848
49,True,,,
50,False,0.13054756348931473,0.09214672870468699,1.0892672538757324
51,False,0.20666581196840217,0.19180000368439137,0.2453138828277588
52,False,0.09916131657173333,0.11993124046623127,2.783634662628174
53,False,0.2927046303733382,0.2518774376038827,5.533174514770508
54,False,0.16845245946915577,0.12546383582413828,2.1813673973083496
55,False,0.16569125376149518,0.09995623073002627,3.5660433769226074
56,False,0.10716175110796422,0.0741835512199377,0.5041394233703613
57,True,,,
58,True,,,
59,False,0.16492448041341695,0.16523930630750436,0.6165053844451904
60,True,,,
61,False,0.2751273561782639,0.2132601395377412,4.95364236831665
62,False,0.1523516473537878,0.2259979328844658,-1.131930947303772
63,True,,,
64,False,0.15332188681141856,0.1469635799456852,-0.6619429588317871
65,False,0.1324921237068435,0.10322892767090813,2.384708881378174
66,False,0.15847190719818416,0.16317500158346904,8.385865211486816
67,False,0.15831805893361905,0.1656351716414167,2.1170754432678223
68,False,0.09119700972761824,0.10427397760138057,-0.6263895034790039
69,False,0.2755736043566881,0.15586873285160058,13.082063674926758
70,False,0.14936966504178512,0.1496089716459437,-0.20954084396362305
71,False,0.15059220409957708,0.20320797065718887,-0.9290385246276855
72,True,,,
73,False,0.10511674527138559,0.10744017138216293,2.2725725173950195
74,False,0.18065836081571718,0.2376479300644667,3.6395015716552734
75,False,0.15579293128226396,0.1646571461990116,1.0530824661254883
76,True,,,
77,False,0.1989939644559805,0.20379561350283198,5.216801643371582
78,True,,,
79,False,0.1034412441228385,0.125304442924005,0.07300043106079102
80,False,0.10844926457311682,0.09185309436528538,0.7809555530548096
81,False,0.17398957435624962,0.14457553649489524,5.100620269775391
82,False,0.15866612203175728,0.17242411763919188,1.4071507453918457
83,True,,,
84,False,0.16976255927408396,0.13853077815352371,0.9304351806640625
85,False,0.13807385043281906,0.1393417286732867,3.1905641555786133
86,True,,,
87,False,0.2035808862028663,0.14552624094337352,0.8282465934753418
88,False,0.09401015146250447,0.08852659825918663,1.052990436553955
89,False,0.12858105705563716,0.08063352756911063,1.3654742240905762
90,False,0.10108683204594432,0.16759681781735516,-0.12601065635681152
91,False,0.123757573774252,0.11623770409040202,0.25241804122924805
92,False,0.16174829450370498,0.14888840999083466,0.9259393215179443
93,True,,,
94,True,,,
95,True,,,
96,True,,,
97,True,,,
98,False,0.1689687869759955,0.1586651064055662,8.941917419433594
99,False,0.13500583515476827,0.11825439953985818,3.4735803604125977
100,True,,,
101,False,0.1564442777473083,0.11972959053068674,0.4533114433288574
102,True,,,
