neuron,dead,ks_gauss,ks_laplace,kurtosis
0,False,0.022048544559657712,0.0423184477089209,0.3822004795074463
1,False,0.02470975681631926,0.0403909396738969,2.5301718711853027
2,False,0.02809099709181684,0.04108256674358468,0.9339561462402344
3,False,0.010464752963975421,0.05029246077805144,-0.21067070960998535
4,False,0.10395775563922538,0.022229974522162133,31.260780334472656
5,False,0.02168321464739864,0.050129486458766026,0.2605609893798828
6,False,0.01942268972288491,0.041270195732119486,0.6595940589904785
7,False,0.007151597846655533,0.04415420780875445,0.012792110443115234
8,False,0.011941801105456673,0.04691680481884808,-0.11416006088256836
9,False,0.03158786840131189,0.04551278042620144,3.320359706878662
10,False,0.02913676594478426,0.04380132814052773,0.1300797462463379
11,False,0.021893489117267573,0.04812343249871698,0.06796884536743164
12,False,0.035992633715791644,0.03936749002351281,8.0442476272583
13,False,0.02448797837625183,0.038049180854423215,0.5073051452636719
14,False,0.03240326356337009,0.052424854392336684,0.38970351219177246
15,False,0.021393872767886013,0.0496347165847138,-0.1402888298034668
16,False,0.019276362463800767,0.04989262194694477,-0.011643171310424805
17,False,0.023054540270667723,0.05837812436255552,-0.13122105598449707
18,False,0.005639316254975157,0.04806985523625018,0.007253170013427734
19,False,0.010436809771069866,0.04597367380087758,-0.05632495880126953
20,False,0.01839960107618699,0.04013048409262632,2.0176515579223633
21,False,0.03375434844271319,0.03769935367442234,1.8273687362670898
22,False,0.013664179198640936,0.0465116386887634,0.0014188289642333984
23,False,0.02634407701218655,0.04345092009732476,35.19213104248047
24,False,0.01118669000613809,0.04277743147397339,-0.011794805526733398
25,False,0.02084369605514602,0.05439189560387053,-0.2478947639465332
26,False,0.011386939210086322,0.04646225274296789,0.3584144115447998
27,False,0.02168162507465493,0.04747756589053059,0.038789987564086914
28,False,0.010406831907253,0.04247894412965436,-0.04111075401306152
29,False,0.08330524940291584,0.0320300682273037,44.25815200805664
30,False,0.02595134044061398,0.05365706434092443,-0.05180716514587402
31,False,0.05373227725656504,0.04168862563782472,5.781703948974609
32,False,0.05583236463792174,0.044199254917930864,2.969417095184326
33,False,0.021031218179981215,0.05044699903126326,-0.04915571212768555
34,False,0.04753126917160011,0.03305883979504681,11.943788528442383
35,False,0.01960386303293382,0.051170941708566064,0.6707782745361328
36,False,0.07932494493945597,0.03515831955633099,19.71705436706543
37,False,0.03491396705169314,0.03647897488003565,1.0621685981750488
38,False,0.06343125338929989,0.04439823593239211,5.888951301574707
39,False,0.009136544380191347,0.04721989111689928,-0.06051754951477051
40,False,0.014863066596965457,0.05191540628779023,0.578101396560669
41,False,0.00872861463813035,0.04705714089324986,0.09730362892150879
42,False,0.015780766517776268,0.04400146964880258,8.663244247436523
43,False,0.01464942234826827,0.05356881931013402,-0.03386282920837402
44,False,0.026267655508274257,0.057648120758694854,-0.5060741901397705
45,False,0.023167618330097395,0.045543670339682374,-0.016109704971313477
46,False,0.007867441921784235,0.049465109196722534,-0.08500838279724121
47,False,0.01909416494394567,0.04614543905461277,-0.0600275993347168
48,False,0.03692325583133238,0.03571283828071814,4.048908233642578
49,False,0.013223043592248407,0.05071381208590087,0.3586568832397461
50,False,0.020247038688565144,0.03933635364720767,0.8193790912628174
51,False,0.04701357054396649,0.03625310252650332,1.8804759979248047
52,False,0.07532590548722229,0.06021821100520631,1.6512541770935059
53,False,0.04619050962438387,0.0350392902529339,30.820575714111328
54,False,0.029552936275405894,0.042810961388929536,0.9546654224395752
55,False,0.013304802569150675,0.0416130097728874,0.6308889389038086
56,False,0.0168730539075721,0.04798899072700047,-0.16827154159545898
57,False,0.011911224430592227,0.046784723117128224,-0.20829224586486816
58,False,0.015787954403630344,0.05051454016055029,-0.3502078056335449
59,False,0.03434630673503142,0.045385587236109415,0.13686680793762207
60,False,0.011484685467578304,0.04741349333035902,0.02698826789855957
61,False,0.019349316619204193,0.03894767787481912,1.60982084274292
62,False,0.009992182706591302,0.04764059447347535,0.08945369720458984
63,False,0.01386542309523825,0.049344867012231175,-0.14284825325012207
64,False,0.023560956499224295,0.04826101901988433,0.07547235488891602
65,False,0.028045600878569887,0.0492790714909723,0.05866861343383789
66,False,0.06006374114324964,0.03384124209984374,6.78825569152832
67,False,0.0411479010283885,0.03687337713962219,4.585192680358887
68,False,0.016925335126446783,0.049575065802786644,-0.17362666130065918
69,False,0.037828733577997375,0.035098483734935015,1.8895525932312012
